#Id	Atom    	nu0
0	133Cs   	1.
1	115In+  	1267402452901041.3
2	1H      	1233030706593514.
3	199Hg   	1128575290808154.32
4	27Al+   	1121015393207859.16
5	199Hg+  	1064721609899146.96
6	171Yb+E2	688358979309308.24
7	171Yb+E3	642121496772645.12
8	171Yb   	518295836590863.63
9	40Ca    	455986240494140.
10	88Sr+   	444779044095486.3
11	88Sr    	429228066418007.01
12	87Sr    	429228004229872.99
13	40Ca+   	411042129776400.4
14	87Rb    	6834682610.9043126
