#Id	Atom    	nu0
0	133Cs   	1.
1	115In+  	1267402452901050.
2	1H      	1233030706593514.
3	199Hg   	1128575290808154.4
4	27Al+   	1121015393207857.3
5	199Hg+  	1064721609899145.30
6	171Yb+E2	688358979309308.3
7	171Yb+E3	642121496772645.0
8	171Yb   	518295836590863.6
9	40Ca    	455986240494140.
10	88Sr+   	444779044095486.5
11	88Sr    	429228066418007.0
12	87Sr    	429228004229873.0
13	40Ca+   	411042129776399.8
14	87Rb    	6834682610.9043126
