#Id1	Id2	Corr
18	63	-0.018
19	45	0.981
46	47	0.324
73	92	-0.060
92	98	0.002
92	99	-0.009
98	99	-0.002
13	14	0.030
13	63	0.060
16	18	0.004
16	63	-0.007
18	19	0.009
19	63	-0.015
16	19	0.006
81	91	-0.123
7	60	0.449
7	61	0.221
47	60	-0.033
47	69	0.018
47	84	-0.018
47	85	-0.022
47	100	-0.026
47	101	-0.022
49	86	-0.004
49	87	-0.007
58	61	-0.636
58	69	-0.713
60	61	0.456
60	69	-0.028
60	84	0.028
60	85	0.035
60	100	0.041
60	101	0.035
61	69	0.597
69	84	-0.015
69	85	-0.019
69	100	-0.022
69	101	-0.019
71	84	0.092
71	85	0.112
71	86	0.086
71	87	0.151
84	85	0.155
84	86	0.105
84	87	0.183
84	100	0.117
84	101	0.100
85	86	0.128
85	87	0.224
85	100	0.027
85	101	0.023
86	87	0.178
100	101	0.027
31	57	0.165
53	68	-0.672
56	106	-0.277
58	106	-0.392
61	106	0.329
69	106	0.369
95	106	0.221
24	81	0.088
76	82	0.191
76	83	0.175
82	83	0.386
3	78	0.028
3	74	0.026
41	90	0.001
50	90	0.061
59	79	0.826
66	79	-0.009
74	78	0.859
78	80	0.006
78	90	-0.021
78	94	0.005
80	90	-0.026
89	93	0.748
89	94	0.672
89	95	0.860
90	94	-0.033
93	94	0.603
93	95	0.680
94	95	0.611
102	103	0.615
102	104	-0.207
103	104	0.329
